Date,Voucher,Party,Product,Qty,Rate
1/5/2017,930,DSP-SEKHAR,90ML RANGEELA,750,14.5
1/5/2017,931,BALAJI PLASTICS,90ML RANGEELA,1500,14.5
1/5/2017,932,SEKHAR MARKET,14 GREEN,5000,1.52
1/5/2017,933,PENCHALAYYA-BRHMADE,CYCLE 10*12 BK KG,75,80
1/5/2017,933,PENCHALAYYA-BRHMADE,CYCLE 13*16 BK KG,50,80
1/5/2017,933,PENCHALAYYA-BRHMADE,TIRUMALA-50(13*16),100,14
1/5/2017,933,PENCHALAYYA-BRHMADE,GARUDA 10*12 BLUE,100,7.5
1/5/2017,933,PENCHALAYYA-BRHMADE,VISHNU 250ML,100,30
1/5/2017,933,PENCHALAYYA-BRHMADE,VISHNU 350ML,100,29
1/5/2017,933,PENCHALAYYA-BRHMADE,PAPER TEA,50,19
1/5/2017,933,PENCHALAYYA-BRHMADE,TIFFIN PLATENO-10,50,17
1/5/2017,933,PENCHALAYYA-BRHMADE,14 GREEN,300,1.55
1/5/2017,933,PENCHALAYYA-BRHMADE,THEROCOL PLATES LOO,100,1.4
1/5/2017,953,BSM-VGIRI,CYCLE-BK-13*16,250,13
1/5/2017,953,BSM-VGIRI,DURGA 10*12 CL,350,6.5
1/5/2017,953,BSM-VGIRI,CYCLE-BK-10*12,350,7
1/5/2017,953,BSM-VGIRI,CYCLE-BK-10*12,50,7
1/5/2017,977,A1 PLASTICS-SPT,14 GREEN,1000,1.5
1/5/2017,977,A1 PLASTICS-SPT,LARGE IC,100,17
1/5/2017,977,A1 PLASTICS-SPT,LARGE FANCY IC,50,19
1/5/2017,1292,BALAJI PLASTICS,APPLE 300ML,100,28
1/6/2017,1950,MADHUFANCY,APPLE 300ML,200,28.5
1/6/2017,1951,BRHAMADEVI SUDHEER,5*6 ANKIT(20MIC),20,22
1/6/2017,1951,BRHAMADEVI SUDHEER,14 GREEN,1000,1.6
1/6/2017,1951,BRHAMADEVI SUDHEER,HIGH COUNT 16*20,25,140
1/6/2017,1952,RAGHU-PDKR,10*12 SARAS-NAT,20,8.5
1/6/2017,1952,RAGHU-PDKR,TIRUMALA-50(13*16),30,14
1/6/2017,1952,RAGHU-PDKR,TIRUMALA-50(16*20),30,26
1/6/2017,1952,RAGHU-PDKR,TIRUMALA-50B(10*12),30,7.5
1/6/2017,1952,RAGHU-PDKR,NO-0,1,145
1/6/2017,1952,RAGHU-PDKR,10*10 TEJA,2,125
1/6/2017,1952,RAGHU-PDKR,NO-1,1,145
1/6/2017,1952,RAGHU-PDKR,NO-2,1,145
1/6/2017,1986,SVP-BUCHHI,DONA-VAI-9100,1,1730
1/6/2017,1986,SVP-BUCHHI,10*12 SARAS-NAT,1500,8.1
1/6/2017,1986,SVP-BUCHHI,10*12 SARAS-NAT,100,8.1
1/6/2017,1986,SVP-BUCHHI,5*6 ANKIT(20MIC),210,21
1/6/2017,1986,SVP-BUCHHI,5*6 ANKIT(20MIC),10,21
1/6/2017,1986,SVP-BUCHHI,10*10 TEJA,50,120
1/6/2017,1986,SVP-BUCHHI,10*10 TEJA,2,120
1/6/2017,1986,SVP-BUCHHI,13*16 WHITE RK,500,15
1/6/2017,1989,G.VENKAIAH-ATMAKUR,CLASSIC 300ML,100,25
1/6/2017,1989,G.VENKAIAH-ATMAKUR,VISHNU 300ML,100,28.5
1/6/2017,1990,VSP,FANCY IC,100,19
1/6/2017,1991,ABC,4*5 MEET,278,16
1/6/2017,1991,ABC,5*7 POLY 1/2KG PACK,25,105
1/6/2017,1991,ABC,SILVER POUCH 9*12,20,90
1/6/2017,1991,ABC,SILVER POUCH 7*9,10,55
1/6/2017,1991,ABC,SILVER POUCH 8*10,10,70
1/6/2017,1991,ABC,PAPER TEA 80ML LONG,160,21
1/6/2017,1992,SVR,13*16 BLACK RK,300,17
1/6/2017,1992,SVR,BEER COVER,10,85
1/6/2017,1993,SVP-BUCHHI,CYCLE-10*12(100)-BL,350,6.1
1/6/2017,1993,SVP-BUCHHI,CYCLE-10*12(100)-BL,10,6.1
1/6/2017,1993,SVP-BUCHHI,PP 4*5,5,140
1/6/2017,1993,SVP-BUCHHI,16*20 (50 BK),20,25
1/6/2017,1994,SEKHAR MARKET,PAPER TEA,1500,17.5
1/6/2017,1994,SEKHAR MARKET,TIRUMALA-50(16*20),240,26
1/6/2017,1994,SEKHAR MARKET,TIRUMALA-50B(10*12),800,7.2
1/6/2017,1994,SEKHAR MARKET,10*12 SARAS-NAT,300,7.9
1/6/2017,1994,SEKHAR MARKET,TAMBULAM 7*10,50,11.5
1/6/2017,1995,MSR,VISHNU 300ML,100,28.5
1/6/2017,1995,MSR,DONA-VAI-9100,1,1730
1/6/2017,1995,MSR,CLASSIC 250ML,100,24.5
1/6/2017,1995,MSR,BLACK DOG-350ML,100,26
1/6/2017,1996,SRINU,10*15 STAR-DCUT,35,88
1/6/2017,1996,SRINU,12*18 STAR-CUT,35,88
1/6/2017,1996,SRINU,14*20 SP-DCUT,5,88
1/6/2017,1997,MURALISHOP,DONA-VAI-9100,2,1730
1/6/2017,1998,KPR,10*10 RADHA KRISHNA,25,98
1/6/2017,1998,KPR,10*10 TEJA,25,120
1/6/2017,1998,KPR,10*10 TEJA,1,120
1/6/2017,1998,KPR,150ML CLASSI-THERMO,1,1500
1/6/2017,1998,KPR,VISHNU 300ML,100,28
1/6/2017,1999,LNGS,N0-5,25,142
1/6/2017,1999,LNGS,NO-10,5,145
1/6/2017,2000,HKP-BUCHHI,VISHNU 250ML,200,31
1/6/2017,2000,HKP-BUCHHI,14 GREEN,1000,1.6
1/6/2017,2001,VENKATARAMA GENRALS,DURGA 10*12 BLUE,800,5.4
1/6/2017,2001,VENKATARAMA GENRALS,DURGA 13*16 BLUE,400,10.5
1/6/2017,2002,SAIFANCY,10*12 KRISHNA-BK(10,450,8.5
1/6/2017,2002,SAIFANCY,10*12 KRISHNA,400,8.5
1/6/2017,2002,SAIFANCY,13*16 BK(100)KRISHN,200,18
1/6/2017,2003,RO,"12""5 PLY PLATES",1200,2.7
1/6/2017,2003,RO,14 GREEN,1000,1.6
1/6/2017,2004,MVK-SKHT,10*10 TEJA,50,120
1/6/2017,2004,MVK-SKHT,10*12 RK,400,8.5
1/6/2017,2005,SSB,VISHNU 300ML,200,28.5
1/6/2017,2005,SSB,TIRUMALA-50(13*16),200,14
1/6/2017,2005,SSB,TIRUMALA-50(16*20),50,26
1/6/2017,2005,SSB,TIRUMALA-50(17*23),20,35
1/6/2017,2005,SSB,20 *26 BLUE,20,60
1/6/2017,2005,SSB,"TAPE ROLL 2""100METR",1,220
1/6/2017,2006,WHITE HORSE,250 ML PLASTIC BOUL,50,3
1/6/2017,2006,WHITE HORSE,500ML PLASTIC BOULS,50,3.7
1/6/2017,2006,WHITE HORSE,BLACK DOG-350ML,110,26
1/6/2017,2006,WHITE HORSE,SILVER FOIL ROLL,4,185
1/6/2017,2007,AVS-NPT,TIRUMALA-50(16*20),20,26
1/6/2017,2007,AVS-NPT,13*16 KESHAV M.W,25,105
1/6/2017,2007,AVS-NPT,NO-000,25,150
1/6/2017,2007,AVS-NPT,1000ML CONTAINER,600,7.8
1/6/2017,2007,AVS-NPT,500ML PLASTIC BOULS,1000,3.65
1/6/2017,2007,AVS-NPT,14 GREEN,1000,1.6
1/6/2017,2007,AVS-NPT,PAPER TEA,160,19
1/6/2017,2007,AVS-NPT,80 LEAF,9,330
1/6/2017,2007,AVS-NPT,PAPER JUICE 250ML,80,65
1/6/2017,2059,TP13,DURGA 10*12 BLUE,400,5.5
1/6/2017,2059,TP13,APPLE 300ML,100,28
1/6/2017,2059,TP13,VISHNU 250ML,100,29.5
1/6/2017,2059,TP13,NIFTY 10*12 PINK,360,6
1/6/2017,2059,TP13,10*12 SARAS-BK,600,8
1/6/2017,2059,TP13,DURGA 13*16 BK,200,11
1/6/2017,2059,TP13,DURGA 10*12 BLUE,800,5.5
1/6/2017,2059,TP13,DURGA 13*16 BLUE,400,10.5
1/6/2017,2059,TP13,4*5 TRISUL,300,13.5
1/6/2017,2059,TP13,13*16 KESHAV M.W,25,100
1/6/2017,2059,TP13,CYCLE 13*16 BK KG,25,78
1/6/2017,2059,TP13,CYCLE 10*12 BK KG,25,78
1/6/2017,2059,TP13,5*6 ANKIT(20MIC),210,20.5
1/6/2017,2059,TP13,GARUDA 10*12 BLUE,1000,6.5
1/6/2017,2059,TP13,5*7 ESWAR,5,147
1/6/2017,2059,TP13,CLASSIC ENJOY(750),1,1320
1/6/2017,2059,TP13,SILVER PLATE 6,50,3.5
1/6/2017,2059,TP13,10*10 MORE,25,135
1/6/2017,2059,TP13,10*12 SARAS-NAT,300,8
1/6/2017,2059,TP13,GANESH 13*16,50,22
1/6/2017,2059,TP13,LOOSE ITEMS,250,1.3
1/6/2017,2097,SMS,PAPER JUICE 250M/C,420,33
1/7/2017,2946,VKP,5*6 JANATHA POLY,100,33.5
1/7/2017,2947,DHANALAKSHMI PROVIS,PP 5*6,2,140
1/7/2017,2947,DHANALAKSHMI PROVIS,PP 6*7,3,140
1/7/2017,2947,DHANALAKSHMI PROVIS,PP 7*8,3,140
1/7/2017,2947,DHANALAKSHMI PROVIS,PP 8*10,2,140
1/7/2017,2947,DHANALAKSHMI PROVIS,TIRUMALA-50(16*20),120,26
1/7/2017,2948,LAVANYA FANCY,WINE GLASS,112,26
1/7/2017,2948,LAVANYA FANCY,WATER GLASS(300),110,26
1/7/2017,2948,LAVANYA FANCY,GARUDA 10*12 BLUE,500,7
1/7/2017,2948,LAVANYA FANCY,CYCLE-BLU-13*16,250,12
1/7/2017,2948,LAVANYA FANCY,CYCLE 10*12 BK KG,25,79
1/7/2017,2949,CHEKKA SUDHAKAR,VISHNU CHOTA WINE,100,26
1/7/2017,2949,CHEKKA SUDHAKAR,13*16 WHITE RK,500,16
1/7/2017,2949,CHEKKA SUDHAKAR,14 GREEN,1000,1.6
1/7/2017,2950,TP13,PRESSING COVER 3*4,50,16
1/7/2017,2950,TP13,PRESSING COVER 4*5,50,30
1/7/2017,2950,TP13,BIG M.W SPOON,100,15.5
1/7/2017,2950,TP13,BULLET 10*12,800,4.1
1/7/2017,2950,TP13,10*10 NILKAMAL,25,95
1/7/2017,2950,TP13,5*6 POLY,230,20
1/7/2017,2950,TP13,HIGH COUNT 16*20,25,138
1/7/2017,2950,TP13,TIRML-BL-KG-16*20,25,115
1/7/2017,2950,TP13,CITIZEN 13*16-M.W,25,130
1/7/2017,2950,TP13,PP,10,132
1/7/2017,2950,TP13,"TAPER ROLL 3""100MTR",6,200
1/7/2017,2950,TP13,10*10 MORE,25,135
1/7/2017,2950,TP13,SILVER POUCH 7*9,100,55
1/7/2017,2950,TP13,NO-00,25,142
1/7/2017,2950,TP13,500ML PLASTIC BOULS,200,3.6
1/7/2017,2950,TP13,10RS RUBBER SHEET,5,170
1/7/2017,2950,TP13,50GRAM RUBBER,2,400
1/7/2017,2950,TP13,10*10 TEJA,25,120
1/7/2017,2950,TP13,GOLD LEAF SITTING,7,630
1/7/2017,2951,DSP-SEKHAR,NIFTY 10*12 PINK,720,5.7
1/7/2017,2951,DSP-SEKHAR,NIFTY 10*12 PINK,1440,5.7
1/7/2017,2951,DSP-SEKHAR,SUPER ROPE(SPECIAL),100,44
1/7/2017,2951,DSP-SEKHAR,CYCLE 10*12 BK KG,50,78
1/7/2017,2951,DSP-SEKHAR,CYCLE 13*16 BK KG,25,78
1/7/2017,2951,DSP-SEKHAR,9*12 STAR-DCUT,35,100
1/7/2017,2952,YUVARAJ PLASTICS-AN,14 GREEN,1000,1.6
1/7/2017,2953,K.RAVIKUMAR-VGIRI,CYCLE-BK-10*12,350,7
1/7/2017,2953,K.RAVIKUMAR-VGIRI,CYCLE-BK-10*12,50,7
1/7/2017,2953,K.RAVIKUMAR-VGIRI,CYCLE-BK-13*16,250,13
1/7/2017,2953,K.RAVIKUMAR-VGIRI,DHARAM-6PCS,3,120
1/7/2017,2953,K.RAVIKUMAR-VGIRI,80 LEAF,1,350
1/7/2017,2953,K.RAVIKUMAR-VGIRI,10*10 MORE,5,140
1/7/2017,2953,K.RAVIKUMAR-VGIRI,DHARAM-15PCS,3,90
1/7/2017,2953,K.RAVIKUMAR-VGIRI,4*5 MEET,20,16
1/7/2017,2953,K.RAVIKUMAR-VGIRI,5*6 POLY,20,21
1/7/2017,2954,K.SRIHARI,13*16 BLACK RK,500,16.5
1/7/2017,2954,K.SRIHARI,NO-000,25,150
1/7/2017,2954,K.SRIHARI,TIRUMALA-50(16*20),120,26
1/7/2017,2955,SATYAM-K,PP (+) 3.5*3.5,10,145
1/7/2017,2955,SATYAM-K,PP 3*3,10,145
1/7/2017,2955,SATYAM-K,PP 2.5*2.5,7,150
1/7/2017,2955,SATYAM-K,PP +(8*10),5,135
1/7/2017,2955,SATYAM-K,PP+(8*12),5,135
1/7/2017,2955,SATYAM-K,PRINTING COVER-50GR,4,165
1/7/2017,2956,SANKAR,10*10 TEJA,50,120
1/7/2017,2957,CH.MALLIKARJUNA,TIRML-BL-KG-16*20,50,120
1/7/2017,2957,CH.MALLIKARJUNA,TIRML-BL-KG-16*20,2,120
1/7/2017,2960,KNC,TIFFIN PLATENO-11,100,20
1/7/2017,2961,GV,PAPER TEA-65ML(100),240,28
1/7/2017,2969,KNC,VISHNU CHOTA WINE,200,26
1/7/2017,2970,KVK,CLASSIC 300ML,200,25.5
1/7/2017,2971,RNR,VISHNU 250ML,100,31
1/7/2017,2971,RNR,BLACK DOG-350ML,100,26
1/7/2017,2972,K.SRIHARI,VISHNU 250ML,100,30
1/7/2017,2973,GV,APPLE 300ML,100,29
1/7/2017,2974,TP13,10*10 SIVA SHEET,25,138
1/7/2017,2974,TP13,GARBAGE BAGS-EXTRA ,12,65
1/7/2017,2974,TP13,GARBAGE BAGS-LARGE,12,50
1/7/2017,2974,TP13,10*12 KRISHNA,150,8.5
1/7/2017,2974,TP13,500ML PLASTIC BOULS,200,3.6
1/7/2017,2974,TP13,GOLD LEAF SITTING,7,630
1/7/2017,2974,TP13,BIG M.W SPOON,100,15.5
1/7/2017,2974,TP13,BULLET 10*12,800,4.1
1/7/2017,2974,TP13,10*10 NILKAMAL,25,95
1/7/2017,2974,TP13,13*16 BK(100)KRISHN,50,17
1/8/2017,3724,LKR-DAKKILI,TIRUMALA-50(16*20),50,27
1/8/2017,3724,LKR-DAKKILI,13*16 WHITE RK,150,16
1/8/2017,3724,LKR-DAKKILI,CYCLE-BK-10*12,50,7
1/8/2017,3724,LKR-DAKKILI,90ML RANGEELA,70,16
1/8/2017,3724,LKR-DAKKILI,14 GREEN,400,1.65
1/8/2017,3725,SUNDHA PLASTICS,LITE FOAM(1200),10,1680
1/8/2017,3725,SUNDHA PLASTICS,DONA-1100,5,1980
1/8/2017,3725,SUNDHA PLASTICS,SILV-CONT-750ML(100,25,2450
1/8/2017,3726,TVS,5 RS RUBBER SHEET,2,180
1/8/2017,3726,TVS,SPOON BIG CL,30,20
1/8/2017,3726,TVS,FANCY IC,100,19.5
1/8/2017,3726,TVS,"PINK PLATES -6""",80,6
1/8/2017,3727,BSR,APPLE WINE,110,23.5
1/8/2017,3727,BSR,BLACK DOG-350ML,100,25.5
1/8/2017,3727,BSR,VISHNU 300ML,100,28.5
1/8/2017,3727,BSR,CLASSIC 250ML,100,24.5
1/8/2017,3728,KISHORE PLASTIC,LITE FOAM(1200),1,1620
1/8/2017,3728,KISHORE PLASTIC,DONA-1100,1,1925
1/8/2017,3728,KISHORE PLASTIC,90ML RANGEELA,140,15
1/8/2017,3730,MAYURI CATERING,FRUIT FORK,30,30
1/8/2017,3730,MAYURI CATERING,HAND GLOVES 100PCS-,20,45
1/8/2017,3731,KVK,PP 18*20,30,142
1/8/2017,3732,TP13,HIGH COUNT 10*12,25,138
1/8/2017,3732,TP13,HIGH COUNT 10*12 BL,25,148
1/8/2017,3732,TP13,HIGH COUNTING BLUE ,25,148
1/8/2017,3732,TP13,HIGH COUNT 16*20 BL,25,148
1/8/2017,3732,TP13,HIGH COUNT 16*20,25,138
1/8/2017,3732,TP13,10*10 RADHA KRISHNA,25,100
1/8/2017,3732,TP13,10*10 TIGER,70,132
1/8/2017,3732,TP13,10*10 MORE,25,135
1/8/2017,3732,TP13,CITIZEN M.W 10*12,25,130
1/8/2017,3732,TP13,4*5 TRISUL,300,13
1/8/2017,3732,TP13,5*6 ANKIT(20MIC),210,20.5
1/8/2017,3732,TP13,PP,60,135
1/8/2017,3734,BALAJI PLATICS-SANG,DURGA 10*12 BK,360,5.5
1/8/2017,3735,BASHA-PDKR,APPLE WATER,100,22
1/8/2017,3741,RVK-VGIRI,NO-00,10,150
1/8/2017,3741,RVK-VGIRI,10*10 MORE,15,137
1/8/2017,3741,RVK-VGIRI,10*12 SARAS-BK,100,8.6
1/8/2017,3741,RVK-VGIRI,10*12 SARAS-NAT,100,8.6
1/8/2017,3741,RVK-VGIRI,13*16 BK(100)KRISHN,100,17
1/8/2017,3741,RVK-VGIRI,TIRUMALA-50(16*20),20,26.5
1/8/2017,3741,RVK-VGIRI,13*16 WHITE RK,100,16
1/8/2017,3742,BRHAMADEVI SUDHEER,CYCLE 10*12 BK KG,25,81
1/8/2017,3742,BRHAMADEVI SUDHEER,CYCLE 13*16 BK KG,25,81
1/8/2017,3742,BRHAMADEVI SUDHEER,TIRUMALA-50(13*16),200,14.3
1/8/2017,3742,BRHAMADEVI SUDHEER,VISHNU 250ML,100,30.5
1/8/2017,3742,BRHAMADEVI SUDHEER,14 GREEN,1000,1.6
1/8/2017,3747,LAVANYA FANCY,VISHNU 300ML,100,28.5
1/8/2017,3748,SESHAMMA-ALR PETA,VISHNU 300ML,200,28.5
1/8/2017,3749,SB.ENTERPRISES,CLASSIC 300ML,200,26
1/8/2017,3749,SB.ENTERPRISES,24 * 30 BLUE,80,75
1/8/2017,3749,SB.ENTERPRISES,20 *26 BLUE,60,58
1/8/2017,3749,SB.ENTERPRISES,SMARTBOUL GLA(4000),1,1680
1/8/2017,3749,SB.ENTERPRISES,SCRUBBER,40,57
1/8/2017,3750,RAFI TRADERS-UGIRI,13*16 BK(100)KRISHN,100,16.5
1/8/2017,3750,RAFI TRADERS-UGIRI,10*12 KRISHNA-BK(10,250,8.5
1/8/2017,3751,K.SRIHARI,90ML RANGEELA,140,15
1/8/2017,3751,K.SRIHARI,GOLD LEAF SITTING,8,680
1/8/2017,3751,K.SRIHARI,TOOTH PICS,10,110
1/8/2017,3752,BABU-BUCHI,PAPER TEA -AL,150,19
1/8/2017,3753,KHAN AND KHAN PLAST,APPLE WINE,660,24
1/8/2017,3753,KHAN AND KHAN PLAST,CLASSIC 300ML,800,25
1/8/2017,3753,KHAN AND KHAN PLAST,BLACK DOG-350ML,200,26
1/8/2017,3753,KHAN AND KHAN PLAST,DONA-VAI-9100,2,1730
1/8/2017,3753,KHAN AND KHAN PLAST,MEDIUM BOUL CLA(540,1,2160
1/8/2017,3753,KHAN AND KHAN PLAST,APPLE WATER,100,22
1/8/2017,3754,MD.ISHAQ,10*12 KRISHNA-BK(10,150,8.5
1/8/2017,3754,MD.ISHAQ,4*5 TRISUL,50,15
1/8/2017,3754,MD.ISHAQ,DONA-VAI-9100,1,1730
1/8/2017,3754,MD.ISHAQ,TIRUMALA-50(17*23),10,35
1/8/2017,3755,MSN-UGIRI,DURGA 10*12 BK,400,5.5
1/8/2017,3755,MSN-UGIRI,10*12 KRISHNA-BK(10,100,8.5
1/8/2017,3755,MSN-UGIRI,13*16 BK(100)KRISHN,200,16.5
1/8/2017,3755,MSN-UGIRI,ROLLS,200,16
1/8/2017,3755,MSN-UGIRI,APPLE WINE,110,23.5
1/8/2017,3755,MSN-UGIRI,LD 5*7,5,165
1/8/2017,3755,MSN-UGIRI,10*10 TEJA,15,125
1/8/2017,3755,MSN-UGIRI,10*10 SHEET,15,135
1/8/2017,3757,TULASI GENERAL STOR,TIRUMALA-50B(10*12),100,8
1/8/2017,3757,TULASI GENERAL STOR,GARUDA 16*20 BLUE,50,24
1/8/2017,3757,TULASI GENERAL STOR,HIGH COUNT 10*12,3,150
1/8/2017,3757,TULASI GENERAL STOR,HIGH COUNT 10*12 BL,5,160
1/8/2017,3758,MSR,APPLE WATER,100,22
1/8/2017,3758,MSR,VISHNU 300ML,100,28.5
1/8/2017,3758,MSR,DONA-VAI-9100,1,1730
1/8/2017,3758,MSR,BLACK DOG-350ML,100,26
1/8/2017,3758,MSR,5*6 POLY,50,20
1/8/2017,3758,MSR,VISHNU ICE,50,18
1/8/2017,3758,MSR,10*12 SARAS-NAT,300,8.5
1/8/2017,3758,MSR,SMART BOUL LOOSE,30,21
1/8/2017,3759,KNC,"10"" CLASSIFOAM-1200",1,1440
1/8/2017,3759,KNC,DONA-1100,1,1980
1/8/2017,3759,KNC,TAMBULAM 7*10,200,12
1/8/2017,3759,KNC,TAMBULAM 8*11,200,14
1/8/2017,3759,KNC,PP 5*5,10,134
1/8/2017,3759,KNC,PP 7*9,10,134
1/8/2017,3759,KNC,PP 7*8,10,134
1/8/2017,3759,KNC,PP 8*10,10,134
1/8/2017,3759,KNC,PP 8*9,10,134
1/8/2017,3759,KNC,PRESSING COVER-2*3,200,8
1/8/2017,3759,KNC,8*11 100 PCS,100,56
1/8/2017,3759,KNC,9*12 100 PCS,100,64
1/8/2017,3760,MR,VISHNU 350ML,10,29
1/8/2017,3761,SATYAM.J,APPLE WATER,200,22
1/8/2017,3761,SATYAM.J,SMARTBOUL GLA(4000),3,1680
1/8/2017,3761,SATYAM.J,DONA-1100,3,1980
1/8/2017,3761,SATYAM.J,10*12 RK,1000,8.3
1/8/2017,3762,BSM-VGIRI,DURGA 10*12 CL,400,6.5
1/8/2017,3762,BSM-VGIRI,CYCLE-BK-10*12,400,6.5
1/8/2017,3762,BSM-VGIRI,CYCLE-BK-13*16,250,13
1/8/2017,3762,BSM-VGIRI,14 GREEN,1000,1.6
1/8/2017,3762,BSM-VGIRI,LITE FOAM(1200),1,1680
1/8/2017,3763,SRINU,VISHNU 250ML,200,30
1/8/2017,3763,SRINU,NO-0,25,135
1/8/2017,3764,LOCK,VISHNU 250ML,300,30
1/8/2017,3765,MSR,CLASSIC ENJOY(750),1,1350
1/8/2017,3765,MSR,14 GREEN,1000,1.62
1/8/2017,3766,DSP-SEKHAR,10*15 STAR-DCUT,35,86
1/8/2017,3767,K.SRIHARI,8*11 STAR-DCUT,35,103
1/8/2017,3786,VAMSI KRISHNA FANCY,CLASSIC 250ML(100),80,31
